threshold,approve_precision,approve_count,reject_recall_nonmatch,reject_count,meets_precision_target,meets_recall_target,selected_high,selected_low,case
0.01,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.0199,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.0298,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.0397,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.0496,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.0595,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.0694,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.0793,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.0892,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.0991,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.109,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.1189,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.1288,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.1387,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.1486,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.1585,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.1684,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.1783,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.1882,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.1981,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.208,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.2179,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.2278,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.2377,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.2476,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.2575,0.9547,464,0.9897,2009,True,True,0.01,0.01,both_targets_met
0.2674,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.2773,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.2872,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.2971,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.307,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.3169,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.3268,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.3367,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.3466,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.3565,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.3664,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.3763,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.3862,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.3961,0.9568,463,0.9901,2010,True,True,0.01,0.01,both_targets_met
0.406,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.4159,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.4258,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.4357,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.4456,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.4555,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.4654,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.4753,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.4852,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.4951,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.5049,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.5148,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.5247,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.5346,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.5445,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.5544,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.5643,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.5742,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.5841,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.594,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.6039,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.6138,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.6237,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.6336,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.6435,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.6534,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.6633,0.9589,462,0.9906,2011,True,True,0.01,0.01,both_targets_met
0.6732,0.9865,446,0.997,2027,True,True,0.01,0.01,both_targets_met
0.6831,0.9865,446,0.997,2027,True,True,0.01,0.01,both_targets_met
0.693,0.9888,445,0.9975,2028,True,True,0.01,0.01,both_targets_met
0.7029,0.9888,445,0.9975,2028,True,True,0.01,0.01,both_targets_met
0.7128,0.9888,445,0.9975,2028,True,True,0.01,0.01,both_targets_met
0.7227,0.9888,445,0.9975,2028,True,True,0.01,0.01,both_targets_met
0.7326,0.9888,445,0.9975,2028,True,True,0.01,0.01,both_targets_met
0.7425,0.9888,445,0.9975,2028,True,True,0.01,0.01,both_targets_met
0.7524,0.993,430,0.9985,2043,True,True,0.01,0.01,both_targets_met
0.7623,0.9953,428,0.999,2045,True,True,0.01,0.01,both_targets_met
0.7722,0.9953,428,0.999,2045,True,True,0.01,0.01,both_targets_met
0.7821,0.9953,428,0.999,2045,True,True,0.01,0.01,both_targets_met
0.792,0.9953,428,0.999,2045,True,True,0.01,0.01,both_targets_met
0.8019,0.9953,428,0.999,2045,True,True,0.01,0.01,both_targets_met
0.8118,0.9953,428,0.999,2045,True,True,0.01,0.01,both_targets_met
0.8217,0.9953,427,0.999,2046,True,True,0.01,0.01,both_targets_met
0.8316,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.8415,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.8514,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.8613,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.8712,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.8811,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.891,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.9009,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.9108,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.9207,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.9306,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.9405,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.9504,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.9603,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.9702,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.9801,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
0.99,1.0,387,1.0,2086,True,True,0.01,0.01,both_targets_met
