label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,match_probability,action
1,using semantic values to falilitate interoperability among heterogeneous information systems,"e sciore , m siegel , a rosenthal",acm trans . database syst .,1994,"m. , rosenthal , a. ( 1991 ) using semantic values to facilitate interoperability among heterogeneous",es sciore,acm transactions on database,,0.2703,flag-review
0,spatial operators,"e clementini , p felice",sigmod record,2000,spatial operators .,acms anthology,"sigmod record ,",2000.0,0.2703,flag-review
0,editor 's notes,m franklin,sigmod record,1999,editor 's notes,sm richardson,"new directions for teaching and learning ,",1999.0,0.2703,flag-review
0,fast parallel similarity search in multimedia databases,"s berchtold , c bіhm , b braunmќller , d keim , h kriegel",sigmod conference,1997,efficient user-adaptable similarity search in large multimedia databases,"s thomas , h kriegel","proc . 23th int . conf . on vldb ,",,0.2703,flag-review
0,guest editorial,,,2001,guest editorial,gh rassool,"journal of advanced nursing ,",2000.0,0.2703,flag-review
0,statistical schema matching across web query interfaces,"b he , k chang",sigmod conference,2003,mining complex matchings across web query interfaces,"b he , kcc chang , j han",,,0.2703,flag-review
1,concurrency and recovery in generalized search trees,"m kornacker , c mohan , j hellerstein",sigmod conference,1997,concurrency control and recovery in gist,"m kornacker , c mohan , j hellerstein","proc . acm sigmod int . conf . on management of data ,",,0.2703,flag-review
0,analysis of n-dimensional quadtrees using the hausdorff fractal dimension,"c faloutsos , v gaede",vldb,1996,analysis of the z-ordering method using the hausdorff fractal dimension,"c faloutsos , v gaede","proceedings of the international conference on very large & hellip ; ,",,0.2703,flag-review
0,guest editorial,,,2000,guest editorial,"v atluri , a joshi , y yesha","the vldb journal the international journal on very large & hellip ; ,",2003.0,0.2703,flag-review
1,generalizing gloss to vector-space databases and broker hierarchies,"l gravano , h garcia-molina",vldb,1995,garc a-molina . generalizinggloss tovector-spacedatabasesandbroker hierarchies,l gravanoandh,"proceedings of the 21st international conference on very & hellip ; ,",,0.2703,flag-review
0,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,secure buffering inâ ® rm real-time database systems,"b george , j haritsa","journal on very large data bases ( vldb ) ,",,0.2703,flag-review
0,guest editorial,,,2003,guest editorial,s chaudhuri,"data mining and knowledge discovery ,",2000.0,0.2703,flag-review
1,efficiently mining long patterns from databases,r jr.,sigmod conference,1998,efficiently mining long patternsfrom databases,r bayardo,"proc . of the acm sigmod conference ,",,0.2703,flag-review
0,an ultra highly available dbms,"s hvasshovd , s bratsberg , и torbjјrnsen",vldb,2000,tutorial : designing an ultra highly available dbms .,se bratsberg,,,0.2703,flag-review
1,estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,"a belussi , c faloutsos",vldb,1995,estimating the selectivity of spatial queries using the â ?? correlationâ ??,fc belussia,"proc . 21st international conference on very large data bases & hellip ; ,",,0.2703,flag-review
