threshold,approve_precision,approve_count,reject_recall_nonmatch,reject_count,meets_precision_target,meets_recall_target,selected_high,selected_low,case
0.01,0.6158,1731,0.8577,4011,False,False,0.2773,0.0397,both_targets_met
0.0199,0.6162,1730,0.8579,4012,False,False,0.2773,0.0397,both_targets_met
0.0298,0.6812,1556,0.8938,4186,False,False,0.2773,0.0397,both_targets_met
0.0397,0.7338,1439,0.918,4303,False,True,0.2773,0.0397,both_targets_met
0.0496,0.7504,1406,0.9249,4336,False,True,0.2773,0.0397,both_targets_met
0.0595,0.7504,1406,0.9249,4336,False,True,0.2773,0.0397,both_targets_met
0.0694,0.7504,1406,0.9249,4336,False,True,0.2773,0.0397,both_targets_met
0.0793,0.7509,1405,0.9251,4337,False,True,0.2773,0.0397,both_targets_met
0.0892,0.8014,1309,0.9443,4433,False,True,0.2773,0.0397,both_targets_met
0.0991,0.8014,1309,0.9443,4433,False,True,0.2773,0.0397,both_targets_met
0.109,0.8014,1309,0.9443,4433,False,True,0.2773,0.0397,both_targets_met
0.1189,0.8186,1279,0.9503,4463,False,True,0.2773,0.0397,both_targets_met
0.1288,0.8186,1279,0.9503,4463,False,True,0.2773,0.0397,both_targets_met
0.1387,0.8641,1199,0.9651,4543,False,True,0.2773,0.0397,both_targets_met
0.1486,0.8641,1199,0.9651,4543,False,True,0.2773,0.0397,both_targets_met
0.1585,0.8641,1199,0.9651,4543,False,True,0.2773,0.0397,both_targets_met
0.1684,0.8648,1198,0.9653,4544,False,True,0.2773,0.0397,both_targets_met
0.1783,0.8648,1198,0.9653,4544,False,True,0.2773,0.0397,both_targets_met
0.1882,0.8648,1198,0.9653,4544,False,True,0.2773,0.0397,both_targets_met
0.1981,0.8648,1198,0.9653,4544,False,True,0.2773,0.0397,both_targets_met
0.208,0.8699,1191,0.9668,4551,False,True,0.2773,0.0397,both_targets_met
0.2179,0.8699,1191,0.9668,4551,False,True,0.2773,0.0397,both_targets_met
0.2278,0.8699,1191,0.9668,4551,False,True,0.2773,0.0397,both_targets_met
0.2377,0.8815,1173,0.9702,4569,False,True,0.2773,0.0397,both_targets_met
0.2476,0.8838,1170,0.9709,4572,False,True,0.2773,0.0397,both_targets_met
0.2575,0.8872,1161,0.972,4581,False,True,0.2773,0.0397,both_targets_met
0.2674,0.8872,1161,0.972,4581,False,True,0.2773,0.0397,both_targets_met
0.2773,0.9248,1091,0.9824,4651,True,True,0.2773,0.0397,both_targets_met
0.2872,0.9248,1091,0.9824,4651,True,True,0.2773,0.0397,both_targets_met
0.2971,0.9248,1091,0.9824,4651,True,True,0.2773,0.0397,both_targets_met
0.307,0.9248,1091,0.9824,4651,True,True,0.2773,0.0397,both_targets_met
0.3169,0.9248,1091,0.9824,4651,True,True,0.2773,0.0397,both_targets_met
0.3268,0.9248,1091,0.9824,4651,True,True,0.2773,0.0397,both_targets_met
0.3367,0.9362,1065,0.9854,4677,True,True,0.2773,0.0397,both_targets_met
0.3466,0.9362,1065,0.9854,4677,True,True,0.2773,0.0397,both_targets_met
0.3565,0.9362,1065,0.9854,4677,True,True,0.2773,0.0397,both_targets_met
0.3664,0.9362,1065,0.9854,4677,True,True,0.2773,0.0397,both_targets_met
0.3763,0.937,1063,0.9857,4679,True,True,0.2773,0.0397,both_targets_met
0.3862,0.9369,1062,0.9857,4680,True,True,0.2773,0.0397,both_targets_met
0.3961,0.9377,1060,0.9859,4682,True,True,0.2773,0.0397,both_targets_met
0.406,0.9386,1059,0.9861,4683,True,True,0.2773,0.0397,both_targets_met
0.4159,0.9581,1002,0.991,4740,True,True,0.2773,0.0397,both_targets_met
0.4258,0.9581,1002,0.991,4740,True,True,0.2773,0.0397,both_targets_met
0.4357,0.959,999,0.9912,4743,True,True,0.2773,0.0397,both_targets_met
0.4456,0.959,999,0.9912,4743,True,True,0.2773,0.0397,both_targets_met
0.4555,0.9599,998,0.9914,4744,True,True,0.2773,0.0397,both_targets_met
0.4654,0.9599,998,0.9914,4744,True,True,0.2773,0.0397,both_targets_met
0.4753,0.9599,998,0.9914,4744,True,True,0.2773,0.0397,both_targets_met
0.4852,0.9608,996,0.9917,4746,True,True,0.2773,0.0397,both_targets_met
0.4951,0.9608,996,0.9917,4746,True,True,0.2773,0.0397,both_targets_met
0.5049,0.9698,961,0.9938,4781,True,True,0.2773,0.0397,both_targets_met
