feature,importance
title__token_set,0.15802861439841573
modelno__token_set,0.13395457421033716
modelno__ratio,0.10436611974308443
modelno__token_sort,0.09505265017096202
title__token_sort,0.07643826420569493
title__ratio,0.06516126065952066
modelno__exact,0.05808635952030449
price__min_margin_dev,0.0447433726265766
price__margin,0.04215927342939897
category__ratio,0.04011066641117943
price__abs_diff,0.03853140885146483
price__rel_diff,0.033975087404405975
category__token_sort,0.033014894761495286
category__token_set,0.031375361485624864
brand__ratio,0.010668527716144098
