left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price,label,match_probability,action
ihome app-friendly rechargeable speaker system for ipad iphone ipod,electronics - general,ihome,id9s,99.99,ihome id8g ipad tm iphone r ipod r app-friendly rechargeable speaker system,storage presentation materials,ihome,,,0,0.6538,flag-review
avery file folder labels on mini-sheets 3-7 16 x 2 3 300 pack,stationery & office machinery,avery,2180,9.21,avery 2180 - file folder labels on mini-sheets 2 3 x 3-7 16 assorted 300 pack,,avery,,,1,0.6538,flag-review
trodat trodat econ micro 5-in-1 message stamp dater self-inking 1 x 3 4 blue red,stationery & office machinery,,t4850l,14.47,trodat e4850l - trodat econ micro 5-in-1 message stamp dater self-inking 1 x 3 4 blue red,laminating supplies,trodat,,,1,0.6538,flag-review
ocz technology vertex 2 60gb 2.5 sata ii solid state drive,hard drives,ocz technologies,oczssd22vtxe60g,119.98,ocz technology 60 gb vertex 2 series sata ii 2.5-inch solid state drive ssd oczssd22vtxe60g,camcorders,ocz,oczssd2-2vtxe60g,94.99,1,0.6538,flag-review
middle atlantic 30 amp stand-alone mpr module,tv accessories,middle atlantic,rlm30-l520-1,237.99,30 amp stand-alone mpr module,home audio theater,middle atlantic,,237.99,1,0.6538,flag-review
rolodex wood tone desk pad mahogany 24 x 19,stationery & office machinery,rolodex,23390,37.94,rolodex 23390 - wood tone desk pad mahogany 24 x 19,blank media,rolodex,,34.65,1,0.6538,flag-review
tp-link tl-ant2405cl 2.4 ghz 5dbi indoor omni-directional antenna,networking,tp link,tl-ant2405cl,8.88,tp-link tl-ant2405c 2.4 ghz 5dbi indoor desktop omni-directional antenna,networking products,tp-link,tl-ant2405c,4.49,1,0.6538,flag-review
audiosource bi5 5 in-wall construction bracket mount,furniture,audiosource,bi5,25.88,audiosource bi5 5.25 in-wall construction bracket mount,printers,grade-a,,,0,0.6538,flag-review
q-see qsbncomp10 antenna connector,garden - general,q-see,qsbncomp10,15.72,q-see qsbncomp10 antenna connector,audio cables,digital peripheral solutions,,19.45,1,0.6538,flag-review
chicago cubs pink iphone 4 hard case,electronics - general,tribeca,fva4424,29.99,chicago white sox pink iphone 4 hard case,computers accessories,tribeca,,23.99,0,0.6538,flag-review
