threshold,approve_precision,approve_count,reject_recall_nonmatch,reject_count,meets_precision_target,meets_recall_target,selected_high,selected_low,case
0.01,0.1935,987,0.5711,1062,False,False,0.6633,0.0694,both_targets_met
0.0199,0.1937,986,0.5717,1063,False,False,0.6633,0.0694,both_targets_met
0.0298,0.1937,986,0.5717,1063,False,False,0.6633,0.0694,both_targets_met
0.0397,0.2892,650,0.7511,1399,False,False,0.6633,0.0694,both_targets_met
0.0496,0.2892,650,0.7511,1399,False,False,0.6633,0.0694,both_targets_met
0.0595,0.2892,650,0.7511,1399,False,False,0.6633,0.0694,both_targets_met
0.0694,0.5307,309,0.9219,1740,False,True,0.6633,0.0694,both_targets_met
0.0793,0.5325,308,0.9224,1741,False,True,0.6633,0.0694,both_targets_met
0.0892,0.5325,308,0.9224,1741,False,True,0.6633,0.0694,both_targets_met
0.0991,0.5325,308,0.9224,1741,False,True,0.6633,0.0694,both_targets_met
0.109,0.5325,308,0.9224,1741,False,True,0.6633,0.0694,both_targets_met
0.1189,0.5325,308,0.9224,1741,False,True,0.6633,0.0694,both_targets_met
0.1288,0.5325,308,0.9224,1741,False,True,0.6633,0.0694,both_targets_met
0.1387,0.5325,308,0.9224,1741,False,True,0.6633,0.0694,both_targets_met
0.1486,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.1585,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.1684,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.1783,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.1882,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.1981,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.208,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.2179,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.2278,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.2377,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.2476,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.2575,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.2674,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.2773,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
0.2872,0.6408,245,0.9526,1804,False,True,0.6633,0.0694,both_targets_met
